AID#,Orig pre-sprted Order,Grant #,Assay Name,Assay Target,Assay Sub-type,Assay Center,Grant Title,Assay Provider,Project UID,summary_aid_and_NA,summary_aid
2640,,NS059429-01,S. typhimurium WT and PhoP- strain polymyxin resistance assay,Secondary,Selectivity/Specificity Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
2816,,NS059429-01,S. typhimurium WT and PhoP- strain polymyxin resistance assay,Secondary,Selectivity/Specificity Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
2831,,NS059429-01,Cell-based GFP Reporter Assay to Identify Inhibitors of PhoP regulon in Salmonella typhimurium.,Primary,--,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
2831,,NS059429-01,Cell-based GFP Reporter Assay to Identify Inhibitors of PhoP regulon in Salmonella typhimurium.,Primary,--,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
2834,,NS059429-01,Counter-screen in non-PhoP inducing conditions to identify non-specific S. enterica inhibitors,Secondary,Counter-screen Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
434990,,NS059429-01,Counter-screen in non-PhoP inducing conditions to identify non-specific S. enterica inhibitors,Secondary,Counter-screen Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
434996,,NS059429-01,Cell-based GFP Reporter Assay to Identify Inhibitors of PhoP regulon in Salmonella typhimurium.,Primary,--,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
449735,,NS059429-01,S. typhimurium WT and PhoP- strain polymyxin resistance assay,Secondary,Selectivity/Specificity Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
449741,,NS059429-01,Cell-based GFP Reporter Assay to Identify Inhibitors of PhoP regulon in Salmonella typhimurium.,Primary,--,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
449742,,NS059429-01,Counter-screen in non-PhoP inducing conditions to identify non-specific S. enterica inhibitors,Secondary,Counter-screen Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
463175,,NS059429-01,Counter-screen in non-PhoP inducing conditions to identify non-specific S. enterica inhibitors,Secondary,Counter-screen Assay,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
463176,,NS059429-01,Cell-based GFP Reporter Assay to Identify Inhibitors of PhoP regulon in Salmonella typhimurium.,Primary,--,SRI Screening,Development of a small molecule screen for PhoP regulon inhibitors in Salmonella,Jason Harris,239,#N/A,
1700,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1825,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1834,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1858,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,1858,1858
1905,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1907,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1972,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1973,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1975,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
2749,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
2750,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
2750,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
434956,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
434957,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
434957,,DA026215-01,Primary cell-based high-throughput screening assay to identify inhibitors of kruppel--like factor 5 (KLF5).,Primary,--,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
485336,,DA026215-01,KLF5 Western Blot Assay (run by AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
485338,,DA026215-01,Luminescence-based counterscreen assay for KLF5 inhibitors: cell-based high throughput screening assay to identify cytotoxic compounds using the IEC-6 intestinal epithelial cell line.,Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
485338,,DA026215-01,Late stage assay provider counterscreen for KLF5 inhibitors: luminescence-based DLD-1 cell proliferation assay (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588539,,DA026215-01,Late stage assay provider counterscreen for KLF5 inhibitors: Fluorescence -based DLD-1 cell cycle assay. (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588610,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588612,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588613,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588614,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588615,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588616,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588617,,DA026215-01,KLF5 Western Blot Assay (run by AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588618,,DA026215-01,DLD1_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588640,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588642,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588643,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588644,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588646,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588648,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588650,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588652,,DA026215-01,HCT116_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588653,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588654,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588655,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588656,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588657,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588658,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588659,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588660,,DA026215-01,HT29_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588661,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588662,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588663,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588665,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588666,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588667,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588668,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588677,,DA026215-01,SW620_INH_WESTERN-BLOT_HRP_%INH MCSRUN (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588725,,DA026215-01,Late stage counterscreen results from the probe development effort to identify inhibitors of kruppel-like factor 5 (KLF5): Radioactivity-based biochemical assay to identify modulators of a panel of 48 kinases,Secondary,MOA Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
588729,,DA026215-01,Late stage assay provider counterscreen for KLF5 inhibitors: NCI60 panel cell proliferation assay (AP),Secondary,Counter-screen Assay,Scripps,High Throughput Screen for Small Molecule Inhibitors of Colorectal Cancer Cell Proliferation,Vincent Yang,240,#N/A,
1663,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
1678,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,1678,1678
1889,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
1891,,DA026209-01,Screen Inhibitors of Platelet Activation for Luciferase Inhibition in an ATP-lumenescent Detection Assay,Secondary,Counter-screen Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2398,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2398,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2509,,DA026209-01,Secondary Cell-based Assay for Inhibition of PMA -induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2511,,DA026209-01,Secondary Cell-based Assay for Inhibition of SFLLRN-induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2518,,DA026209-01,Secondary Cell-based Assay for Inhibition of SFLLRN-induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2519,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2522,,DA026209-01,Secondary Cell-based Assay for Inhibition of Ca2+-ionophore-induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2527,,DA026209-01,Secondary Cell-based Assay for Inhibition of Ca2+-ionophore-induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2529,,DA026209-01,Secondary Cell-based Assay for Inhibition of PMA -induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2546,,DA026209-01,Assay of compound-induced platelet cAMP levels (AP),Secondary,Counter-screen Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2645,,DA026209-01,Assay of compound-induced platelet cAMP levels (AP),Secondary,Counter-screen Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2655,,DA026209-01,SFLLRN-induced platelet actin polymerization using a FITC phalloidin assay (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2656,,DA026209-01,SFLLRN-induced 14C-serotonin release from platelet dense granules (run by AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2657,,DA026209-01,SFLLRN-induced platelet actin polymerization using a FITC phalloidin assay (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
493031,,DA026209-01,Secondary Cell-based Assay for Inhibition of SFLLRN-induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
493068,,DA026209-01,Secondary Cell-based Assay for Inhibition of SFLLRN-induced P-Selectin Surface Expression (AP),Secondary,MOA Assay,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
493100,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
493100,,DA026209-01,HTS of Platelet Rich Plasma for inhibitors of platelet activation by measurement of dense granule release (ATP).,Primary,--,Broad,Chemical Genetic Analysis of Platelet Granule Secretion,Robert Flaumenhaft,241,#N/A,
2732,,MH084182-01,HTS Cell-based Reporter Assay to Find Inhibitors of CHOP Regulation of the UPR Pathway,Primary,--,Emory,High Throughput Chemical Genomics to Identify Novel Inhibitors of CHOP,Randal Kaufman,243,#N/A,
493217,,MH084182-01,HTS Cell-based Reporter Assay to Find Inhibitors of CHOP Regulation of the UPR Pathway,Primary,--,Emory,High Throughput Chemical Genomics to Identify Novel Inhibitors of CHOP,Randal Kaufman,243,,0
504313,,MH084182-01,Cell-based Reporter Counterscreen for Inhibitors of XBP-1 Regulation of the UPR Pathway,Secondary,Counter-screen Assay,Emory,High Throughput Chemical Genomics to Identify Novel Inhibitors of CHOP,Randal Kaufman,243,#N/A,
504322,,MH084182-01,HTS Cell-based Reporter Assay to Find Inhibitors of CHOP Regulation of the UPR Pathway,Primary,--,Emory,High Throughput Chemical Genomics to Identify Novel Inhibitors of CHOP,Randal Kaufman,243,#N/A,
504437,,MH084182-01,HTS Cell-based Reporter Assay to Find Inhibitors of CHOP Regulation of the UPR Pathway,Primary,--,Emory,High Throughput Chemical Genomics to Identify Novel Inhibitors of CHOP,Randal Kaufman,243,#N/A,
1575,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,1575,1575
1578,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
1578,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
1849,,MH084844-01,uHTS Fluorescence assay for the identification of cytotoxic compounds among compounds active in NOD1 cell inhibition assay (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
1852,,MH084844-01,Dose response assay to identify hits specific to TNF?-modulated pathways to assess selectivity of hits emerging from the primary screening of the library in NOD1- and NOD2-specific assays in HEK-293-T NF?B-Luc cells (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2245,,MH084844-01,SAR analysis of tumor necrosis factor alpha (TNF-alpha) induced IL-8 secretion in MCF-7/NOD1 cells. (AP),Secondary,Selectivity/Specificity Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2250,,MH084844-01,SAR analysis of GM-Tri-DAP induced IL-8 secretion in MCF-7/NOD1 cells (NOD1) (AP),Secondary,Selectivity/Specificity Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2255,,MH084844-01,SAR analysis of NF-kB dependent luciferase using Doxorucibin as an inducer (NOD1) (AP),Secondary,Selectivity/Specificity Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2260,,MH084844-01,SAR analysis of muramyl dipeptide (MDP) induced IL-8 secretion in MCF-7/NOD2 cells (NOD1) (AP),Secondary,Selectivity/Specificity Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2261,,MH084844-01,SAR analysis of NF-kB dependent luciferase using PMA/Ionomycin as an inducer. (NOD1)(AP),Secondary,Selectivity/Specificity Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2264,,MH084844-01,SAR analysis of NF-kB dependent luciferase using DAP as an inducer (NOD1)(AP),Secondary,Selectivity/Specificity Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2333,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2333,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2335,,MH084844-01,Dose response detection of cytotoxic compounds among the hits identified in a primary reporter gene assay in NOD2OE HEK-293-T NFKB-Luc cells (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2337,,MH084844-01,Dose response assay to identify hits specific to TNF?-modulated pathways to assess selectivity of hits emerging from the primary screening of the library in NOD1- and NOD2-specific assays in HEK-293-T NF?B-Luc cells (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2466,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2466,,MH084844-01,HTS Cell-based Luciferase Reporter Assay for Inhibitors of the Nucleotide-binding Oligomerization Domain Protein NOD1,Primary,--,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2469,,MH084844-01,Dose response detection of cytotoxic compounds among the hits identified in a primary reporter gene assay in NOD2OE HEK-293-T NFKB-Luc cells (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2483,,MH084844-01,Dose response assay to identify hits specific to TNF?-modulated pathways to assess selectivity of hits emerging from the primary screening of the library in NOD1- and NOD2-specific assays in HEK-293-T NF?B-Luc cells (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
2485,,MH084844-01,Dose response assay to identify hits specific to TNF?-modulated pathways to assess selectivity of hits emerging from the primary screening of the library in NOD1- and NOD2-specific assays in HEK-293-T NF?B-Luc cells (NOD1),Secondary,Counter-screen Assay,Burnham,High Throughput Screening Assays for NOD1 and NOD2 Inhibitors,John Reed,244,#N/A,
